OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-05-24T18:20:22.669728,15.06416369,.0001348,53.0568,43.6519,91.4802,268.6341,0,U,44714,999,30520,.20262E-3,.2739E-4,0
STARLINK-1010,2019-074D,2025-05-25T06:00:02.000160,15.46003092,.0002258,53.0574,36.3460,138.4860,42.6039,0,U,44716,999,30550,.17345E-3,.8177E-4,0
STARLINK-1011,2019-074E,2025-05-25T04:01:35.461920,15.06407358,.0001405,53.0552,61.8420,89.2712,270.8438,0,U,44717,999,30515,.87947E-4,.1029E-4,0
STARLINK-1012,2019-074F,2025-05-24T17:48:33.539904,15.06403569,.0001466,53.0576,43.7511,98.7149,261.4006,0,U,44718,999,30519,.55752E-4,.549E-5,0
STARLINK-1013,2019-074G,2025-05-25T06:00:02.000160,15.60588094,.0001008,53.0508,35.3039,108.5169,347.4770,0,U,44719,999,30552,.13495E-1,.125049E-1,0
STARLINK-1014,2019-074H,2025-05-25T06:00:02.000160,15.72530242,.0000424,53.0390,346.9384,312.5540,223.9678,0,U,44720,999,30621,.11086E-2,.153413E-2,0
STARLINK-1015,2019-074J,2025-05-25T06:00:02.000160,15.56890542,.000152,53.0578,35.7843,92.4598,85.0827,0,U,44721,999,30551,.26681E-3,.19083E-3,0
STARLINK-1017,2019-074L,2025-05-24T17:00:47.133504,15.06387768,.0001354,53.0568,43.8996,95.6132,264.5011,0,U,44723,999,30519,.16134E-3,.2122E-4,0
STARLINK-1019,2019-074M,2025-05-24T17:43:15.327840,15.06398730,.0001638,53.0566,43.7693,86.7359,273.3818,0,U,44724,999,30519,.19906E-4,.15E-6,0
STARLINK-1020,2019-074N,2025-05-25T00:13:21.632160,15.06404273,.0001491,53.0559,62.5561,98.5969,261.5189,0,U,44725,999,30512,.11428E-4,-.111E-5,0
STARLINK-1021,2019-074P,2025-05-24T22:00:01.999584,15.49713810,.0001382,53.0542,39.7978,99.5656,351.6207,0,U,44726,999,30543,.19657E-1,.1221482E-1,0
STARLINK-1029,2019-074X,2025-05-24T22:00:01.999584,15.38125638,.0001334,53.0568,320.7272,77.4192,205.6819,0,U,44734,999,584,.30752E-1,.1279768E-1,0
STARLINK-1030,2019-074Y,2025-05-24T19:11:21.902784,15.36911697,.000174,53.0514,62.0178,45.0800,315.0343,0,U,44735,999,30494,.31638E-1,.1264742E-1,0
STARLINK-1031,2019-074Z,2025-05-22T13:03:15.799968,15.13950978,.0001665,53.0544,73.3942,107.6056,252.5118,0,U,44736,999,30476,.13631E-1,.258939E-2,0
STARLINK-1036,2019-074AE,2025-05-25T04:06:54.294336,15.06403893,.0001513,53.0545,61.8235,90.4627,269.6535,0,U,44741,999,30515,.59512E-4,.605E-5,0
STARLINK-1039,2019-074AH,2025-05-24T05:41:24.340992,15.06384651,.0001196,53.0546,86.0159,92.1980,267.9146,0,U,44744,999,30456,.18903E-3,.2534E-4,0
STARLINK-1042,2019-074AL,2025-05-24T22:14:38.011776,15.37465455,.0003176,53.0517,25.5561,16.7597,343.3510,0,U,44747,999,30549,.29942E-3,.1079E-3,0
STARLINK-1043,2019-074AM,2025-05-25T05:02:38.847840,15.06396580,.0001499,53.0566,81.6526,87.3161,272.7999,0,U,44748,999,30488,.22496E-4,.54E-6,0
STARLINK-1046,2019-074AQ,2025-05-25T02:12:47.512512,15.06398299,.000146,53.0561,82.1788,95.1370,264.9786,0,U,44751,999,30486,.13096E-3,.167E-4,0
STARLINK-1047,2019-074AR,2025-05-24T02:51:51.363936,15.24611646,.0004395,53.0753,50.6005,44.0728,316.0619,0,U,44752,999,30505,.24239E-3,.5723E-4,0
STARLINK-1048,2019-074AS,2025-05-24T23:38:52.150848,15.06408735,.0001329,53.0552,42.6628,89.8077,270.3065,0,U,44753,999,30540,.28016E-3,.3895E-4,0
STARLINK-1053,2019-074AX,2025-05-24T01:16:35.460480,15.47312139,.0000862,53.0456,57.7961,99.1745,260.9359,0,U,44758,999,30495,.45942E-3,.23465E-3,0
STARLINK-1054,2019-074AY,2025-05-25T01:56:30.709536,15.29290046,.0001846,53.0543,81.1002,97.0298,263.0911,0,U,44759,999,30488,.2356E-1,.72827E-2,0
STARLINK-1056,2019-074BA,2025-05-25T06:00:02.000160,15.44417966,.000131,53.0506,78.3795,88.1593,50.3573,0,U,44761,999,30493,.2959E-2,.141112E-2,0
STARLINK-1057,2019-074BB,2025-05-25T06:00:02.000160,15.43608495,.0001256,53.0547,59.1239,76.0306,35.5157,0,U,44762,999,30519,.25444E-1,.1267461E-1,0
STARLINK-1060,2019-074BE,2025-05-24T19:16:08.261760,15.06399750,.0001408,53.0559,63.4750,98.3933,261.7216,0,U,44765,999,30492,-.29247E-4,-.717E-5,0
STARLINK-1063,2019-074BH,2025-05-25T05:07:56.579520,15.06406842,.0001507,53.0555,81.6349,88.0865,272.0297,0,U,44768,999,30488,.96471E-4,.1156E-4,0
STARLINK-1067,2019-074BL,2025-05-25T04:52:00.760512,15.06410056,.0001508,53.0555,81.6853,107.2360,252.8794,0,U,44771,999,30488,.26271E-4,.11E-5,0
STARLINK-1068,2019-074BM,2025-05-24T19:05:31.011648,15.06405543,.0001463,53.0555,63.5152,94.2709,265.8447,0,U,44772,999,30492,.60213E-4,.616E-5,0
STARLINK-1098,2020-001D,2025-05-24T22:00:01.999584,15.41194262,.0001088,53.0517,200.6798,83.2055,40.4804,0,U,44917,999,585,.26905E-1,.123384E-1,0
STARLINK-1104,2020-001J,2025-05-22T11:24:07.012224,15.23920255,.0001547,53.0540,213.2742,74.0120,286.1047,0,U,44922,999,29596,.29102E-1,.768431E-2,0
STARLINK-1112,2020-001M,2025-05-24T22:00:01.999584,15.31818028,.0001118,53.0555,200.3358,35.8762,27.1137,0,U,44925,999,29635,.17016E-2,.53013E-3,0
