Latitude,Longitude
33.7628,-84.422
-36.8492,174.7653
52.52,13.405
-34.6036,-58.3814
51.05,-114.0667
41.8375,-87.6866
32.7935,-96.7667
39.762,-104.8758
53.3497,-6.2603
6.455,3.3841
-12.06,-77.0375
51.5072,-0.1275
42.9836,-81.2497
34.1141,-118.4068
40.4169,-3.7033
14.5958,120.9772
3.1686,101.698
-26.2044,28.0456
-17.8292,31.0522
38.7122,-9.134
50.45,30.5233
49.8844,-97.1464
44.6475,-63.5906
49.6117,6.1319
12.8,45.0333
-26.3167,31.1333
48.2083,16.3725
50.8467,4.3525
59.3275,18.0547
50.4547,-104.6067
27.4722,89.6361
45.9636,-66.6431
34.5776,-92.5713
-34.9056,-56.1842
42.775,-81.1833
37.9842,23.7281
-42.8806,147.325
-0.22,-78.5125
16.0104,-61.7055
-3.7275,-38.5275
52.23,21.0111
18.0706,-63.0847
18.4764,-69.8933
25.2867,51.5333
-3.4283,29.925
52.3728,4.8936
50.0875,14.4214
14.6417,-90.5133
26.612,-81.6388
45.5089,-73.5617
14.9177,-23.5092
-8.5594,125.5795
59.9133,10.7389
17.9714,-76.7931
48.1447,17.1128
56.9475,24.1069
35.8983,14.5125
35.1725,33.365
8.4833,-13.2331
-27.4678,153.0281
-43.5311,172.6361
44.3,-78.3167
14.6,-61.0667
1.3382,173.0176
45.7891,-108.5526
13.6989,-89.1914
-18.1333,178.4333
35.2337,-89.8195
13.515,2.1175
44.4325,26.1039
-30.7489,121.4658
-15.4167,28.2833
47.3744,8.5411
-13.9669,33.7873
25.0442,-77.3503
-24.6569,25.9086
18.3985,-66.061
45.8131,15.9772
4.83,31.58
44.1,-78.9333
55.6805,12.5615
8.9711,-79.5347
-9.4333,159.95
41.0027,-76.4561
10.4806,-66.9036
6.4972,2.605
14.1057,-87.204
15.6031,32.5265
4.933,-52.33
23.6139,58.5922
17.8979,-62.8506
18.5425,-72.3386
41.9961,21.4317
48.6993,2.1875
18.0237,-63.0458
-1.9536,30.0606
43.9667,-78.1667
43.3708,-80.9819
6.8011,-58.155
47.4983,19.0408
36.1901,-94.1574
-13.8333,-171.75
12.1053,15.0447
10.6667,-61.5167
1.3,103.8
54.6872,25.28
60.1708,24.9375
18.342,-64.9331
-33.3,151.2
42.2467,-71.1777
59.4372,24.7453
41.3249,-112.0011
-28.0167,153.4
44.1667,-77.3833
44.05,-79.4667
28.4773,-81.337
-23.3539,119.7319
45.266,-93.6201
6.3133,-10.8014
4.1753,73.5089
13.4581,-16.5786
6.9172,158.1589
-34.7558,149.7206
46.0514,14.5061
13.1578,-61.225
26.2233,50.5875
-35.1189,147.3689
-25.5375,152.7019
21.3294,-157.846
25.2631,55.2972
41.3272,19.8186
48.2153,-114.3274
41.5127,-109.471
53.2214,7.8097
-38.0167,144.4167
63.7598,-68.5107
38.6738,-120.9872
-37.2833,142.9167
43.168,-77.6162
-34.7322,135.8586
37.9881,-87.5341
-24.8661,152.3494
-22.9111,-43.2056
31.9497,35.9328
6.9167,79.8333
13.0969,-59.6131
-21.1411,149.1858
64.1458,-21.9425
-8.5167,179.2
31.7789,35.2256
41.7225,44.7925
6.3249,8.1137
5.5461,-0.2067
-18.91,47.525
39.0277,-77.4714
39.2238,-121.0522
-23.8427,151.2555
-32.1167,133.6667
-30.3167,149.7667
-35.2931,149.1269
-33.8333,138.6
-14.274,-170.7046
42.0938,-76.8097
-15.7736,128.7386
34.933,-82.2313
44.4333,-81.3833
42.9848,-71.4447
-4.2312,-69.9386
44.8228,-87.366
-3.8878,-59.0939
-25.9153,32.5764
-37.8142,144.9631
19.4333,-99.1333
25.784,-80.2101
45.4669,9.19
44.9635,-93.2678
-1.2864,36.8172
40.6943,-73.9249
48.8567,2.3522
43.2,-80.3833
-31.9558,115.8597
33.5722,-112.0892
41.8931,12.4828
40.7776,-111.9311
37.3012,-121.848
-33.4372,-70.6506
47.6211,-122.3244
42.6979,23.3217
-33.8667,151.2
35.687,139.7495
43.7417,-79.3733
-34.9275,138.6
42.6137,-71.5614
49.25,-123.1
4.9267,6.2676
-23.3781,150.5136
