city,country,lat,lng
St John's,AG,17.1184569,-61.8448509
Acassuso,AR,-34.4763507,-58.5044291
Presidente Derqui,AR,-34.4832622,-58.8445447
Ramos Mejía,AR,-34.6481661,-58.5622869
Valentín Alsina,AR,-34.6719714,-58.4130153
Adare,AU,-27.5097218,152.2961121
Adelaide Hills,AU,-34.9013511,138.8293202
Albion Park Rail,AU,-34.5625775,150.7978168
Aylmerton,AU,-34.4185998,150.4953005
Beechworth,AU,-36.3594929,146.687012
Bellangry,AU,-31.3316667,152.6177778
Benayeo,AU,-36.8265704,141.0066839
Biggenden,AU,-25.5105,152.0458009
Booroobin,AU,-26.8148724,152.7639801
Bootawa,AU,-31.9316667,152.3677778
Bowen Mountain,AU,-33.5735614,150.6256438
Boyland,AU,-27.9359725,153.1277819
Cameron Park,AU,-32.9044444,151.6091667
Canungra,AU,-28.0385865,153.1419128
Cheshunt,AU,-36.8290825,146.4430019
Chesney Vale,AU,-36.4141175,146.0616543
Childers,AU,-25.246446,152.2608358
Chinchilla,AU,-26.7501005,150.6228556
Clifton Grove,AU,-33.2482719,149.1511172
Clifton Springs,AU,-38.15307,144.5726575
Clintonvale,AU,-28.0966865,152.12332
Cobden,AU,-38.3282494,143.07788
Cohuna,AU,-35.80826,144.2200068
Coorabie,AU,-31.833057,132.1104094
Cooroy Mountain,AU,-26.431172,152.9516845
Corrigin,AU,-32.3330288,117.8760602
Croydon,AU,-18.5136366,141.9670155
Curra,AU,-26.0721725,152.5987753
Daylesford,AU,-37.3414775,144.1465866
Durras North,AU,-35.6362034,150.3029619
Exeter,AU,-34.8384893,138.4907683
Galston,AU,-33.6467002,151.0642498
Gibb,AU,-16.210066,126.3822312
Glass House Mountains,AU,-26.9043015,152.9302177
Glen Iris,AU,-37.855814,145.0646117
Gordon,AU,-33.7553899,151.1518099
Gormandale,AU,-38.3033125,146.7013632
Grenville,AU,-37.7575555,143.9099285
Grose Wold,AU,-33.6030113,150.6745178
Gundaroo,AU,-35.0252793,149.267271
High Range,AU,-34.3745092,150.2966157
Innot Hot Springs,AU,-17.795529,145.3121906
Isabella,AU,-33.9483333,149.6677778
Jamestown,AU,-33.2054221,138.6053401
Jimboomba,AU,-27.8318573,153.0227538
Junction View,AU,-27.8107315,152.1873948
Kandos,AU,-32.8588738,149.9742902
Kellevie,AU,-42.7789,147.81607
Kulnura,AU,-33.2316667,151.2177778
Kurrajong Heights,AU,-33.5236086,150.626953
Kuttabul,AU,-21.0239085,148.9041353
Kyneton,AU,-37.247494,144.4552171
Kyogle,AU,-28.6462917,152.7444244
Laguna,AU,-32.9918994,151.1297312
Lancefield,AU,-37.2763273,144.7340354
Leongatha,AU,-38.4761569,145.9458605
Limerick,AU,-34.1983333,149.4677778
Logan Village,AU,-27.7675482,153.1070052
Maddingley,AU,-37.6974706,144.4194664
Maleny,AU,-26.756741,152.8424214
Mansfield,AU,-37.0521177,146.0881445
Maroon,AU,-28.191638,152.6906431
Marree,AU,-29.6474701,138.0635603
Marulan,AU,-34.7111747,150.0064012
Marysville,AU,-37.5222245,145.818266
Meadow Flat,AU,-33.415,149.9177778
Merriwa,AU,-32.1397152,150.3552042
Moulamein,AU,-35.0885559,144.0379924
Mount Marshall,AU,-30.3182059,117.8765724
Mullumbimby,AU,-28.5483333,153.5011111
Murwillumbah,AU,-28.3267617,153.3971541
Narrawa,AU,-34.4152,149.0846
Noojee,AU,-37.8352675,145.9443211
Oberon,AU,-33.8455931,149.8326162
Paris Creek,AU,-35.2212394,138.8047844
Picton,AU,-33.3415555,115.7027399
Pomborneit,AU,-38.2955645,143.2925199
Queenscliff,AU,-33.7823916,151.2854011
Quirindi,AU,-31.5021772,150.6804062
Rockdale,AU,-33.9542619,151.1403655
Rockleigh,AU,-35.0002438,139.1000086
Rokeby,AU,-42.8958386,147.4336189
Rosebrook,AU,-32.634775,151.5149077
Rutherglen,AU,-36.0538594,146.4601363
Sailors Falls,AU,-37.3923935,144.1143433
Seaforth,AU,-33.7910792,151.2430284
Shelbourne,AU,-36.84128,144.0593651
Shoreham,AU,-38.4247467,145.0554939
South Bowenfels,AU,-33.5135892,150.1203382
South Windsor,AU,-33.6302778,150.8041667
St Fillans,AU,-32.4652,149.6346
Stanthorpe,AU,-28.6559947,151.9338265
Sunshine Coast,AU,-26.6544338,153.0933668
Sydney Olympic Park,AU,-33.842903,151.072535
Talwood,AU,-28.4940685,149.3968611
Thrumster,AU,-31.4553317,152.8280446
Upper Colo,AU,-33.4213834,150.7255258
Upper Coomera,AU,-27.8529809,153.2982761
Wandiligong,AU,-36.804929,146.9679819
Warburton,AU,-26.1355479,126.578675
Warrah Ridge,AU,-31.5902,150.5737
Wauchope,AU,-31.4557879,152.734664
Whittlesea,AU,-37.5121301,145.1177321
Wilberforce,AU,-33.549451,150.8474116
Wilton,AU,-34.2402914,150.6993904
Woodend,AU,-37.3536857,144.5341381
Yallourn,AU,-38.1929415,146.3420295
Yandaran,AU,-24.701633,152.080841
Yass,AU,-34.8418629,148.9110055
Yowrie,AU,-36.3194678,149.7393829
São Paulo,BR,-23.5506507,-46.6333824
Baltimore,CA,44.0183887,-78.1474808
Blackstock,CA,44.1074003,-78.8200172
Bobcaygeon,CA,44.5372969,-78.5444995
Castleton,CA,44.0923099,-77.9388294
Cavan,CA,44.1996764,-78.4686767
Creemore,CA,44.327104,-80.1084149
Durham,CA,45.1255418,-73.9922809
Ennismore,CA,44.4099602,-78.4317746
Fenelon Falls,CA,44.5370301,-78.7363805
Frankford,CA,44.2014122,-77.5957588
Godfrey,CA,44.5427807,-76.6789752
Gooderham,CA,44.9071458,-78.3792656
Haliburton,CA,46.7069188,-64.3516725
Havelock,CA,45.0453407,-73.7584868
Indian River,CA,46.4771439,-63.6872679
Kirkfield,CA,49.8704641,-97.2848807
Komoka,CA,42.9452837,-81.4321521
Lakefield,CA,45.7511322,-74.2562529
Lakehurst,CA,44.5310006,-78.4299786
Lanark,CA,45.6506868,-61.9475133
Maxville,CA,45.2885939,-74.8554938
Millbrook,CA,44.1511443,-78.4475977
Minden,CA,44.9254436,-78.72493
Mount Albert,CA,44.1368646,-79.3085305
Mount Brydges,CA,42.9097165,-81.4957317
Mountain Grove,CA,44.7359044,-76.8455109
Norwood,CA,53.5685056,-113.48521
Ontario,CA,43.6286032,-79.4852717
Paisley,CA,53.4139488,-113.559332
Pontypool,CA,44.1017447,-78.6308231
Southwold,CA,42.7415823,-81.3319189
Spencerville,CA,44.8433048,-75.5463673
Springton,CA,46.3201469,-63.4250112
Stewiacke,CA,45.1371295,-63.3483698
Stirling,CA,49.503059,-112.525082
Tatamagouche,CA,45.7109353,-63.2879017
Trent Lakes,CA,44.6630272,-78.4253243
Trenton,CA,44.1019126,-77.57539
Warkworth,CA,44.2019073,-77.8868553
Wiarton,CA,44.7438271,-81.1408154
Wikwemikong,CA,45.8079681,-81.7122055
Bogotá,CO,4.6533815,-74.0836331
San José,CR,9.9325427,-84.0795782
Corwen,GB,52.9804731,-3.3731677
St Peter Port,GG,49.4568142,-2.5389979
Fort Liberté,HT,19.6635608,-71.8367046
Yangon,MM,16.7967129,96.1609916
Ulan Bator,MN,47.9184676,106.9177016
Culiacán,MX,24.7978965,-107.393395
Suleja,NG,9.175833,7.180833
Yaren District,NR,-0.5471064,166.9163479
Ramallah,PS,31.8978012,35.1924223
Asunción,PY,-25.2800459,-57.6343814
Pečeňany,SK,48.6748284,18.227577
Nuku'alofa,TO,-21.1343401,-175.201808
Amelia Court House,US,37.3420146,-77.9809885
Atlantic Mine,US,47.0971497,-88.6276246
Barre,US,44.1969042,-72.5007458
Barton City,US,44.6841793,-83.6055341
Bellefonte,US,40.9134862,-77.7737471
Brainard,US,40.8120723,-124.1103384
Bryceville,US,30.3846821,-81.9387195
Bryson City,US,35.4309291,-83.447381
Carlton,US,46.6638322,-92.4249135
Catawissa,US,40.9548267,-76.4609868
Charlevoix,US,45.317649,-85.258348
Chipley,US,30.7818584,-85.538541
Clymer,US,42.020888,-79.63005
Cobleskill,US,42.677853,-74.4854172
Cowansville,US,40.8880736,-79.5887616
Cuddebackville,US,41.4673154,-74.5937719
Curwensville,US,40.9756137,-78.5250243
Dawson,US,31.7735001,-84.4465827
Diamond Point,US,43.4792357,-73.6870621
Dushore,US,41.524242,-76.4007744
East Baldwin,US,43.8326505,-70.6715036
East Barre,US,44.1581178,-72.4503802
Enosburg Falls,US,44.9066695,-72.804578
Eyota,US,43.9887507,-92.2292396
Fall River Mills,US,41.0046076,-121.4383139
Fort Ann,US,43.4143073,-73.4879808
Hermann,US,38.7042119,-91.4373845
Hollidaysburg,US,40.430774,-78.3900826
Homer,US,59.6454064,-151.5445643
Hop Bottom,US,41.7059106,-75.7663017
Hume,US,39.7967015,-87.8686414
Jacumba Hot Springs,US,32.6175626,-116.189739
Jeffersonton,US,38.637065,-77.9149952
Laceyville,US,41.6459089,-76.1613189
Leeper,US,41.3703408,-79.3042099
Lignum,US,38.415961,-77.8266604
Lindley,US,42.0284072,-77.1396946
Little Meadows,US,41.9906303,-76.1307604
Lorena,US,31.3865592,-97.2155596
Lula,US,34.3876013,-83.6662854
Luray,US,38.6654653,-78.4600202
Manchester Center,US,43.176909,-73.0568716
Marble,US,47.320494,-93.298536
Milan,US,41.453089,-90.5720803
Milanville,US,41.6714775,-75.0651686
Morgan,US,44.4169049,-94.9255465
Mountain City,US,30.0381161,-97.8909148
Muncy,US,41.20484,-76.7870991
New Bethlehem,US,41.001732,-79.3314297
New Boston,US,33.4598415,-94.4154787
New York City,US,40.7127281,-74.0060152
Nome,US,64.4975098,-165.4061701
Northern Cambria,US,40.6575819,-78.7790754
Northville,US,42.4310816,-83.4832339
Paso Robles,US,35.6262618,-120.6901319
Piermont,US,43.9707333,-72.0811463
Pine Mountain Club,US,34.8447503,-119.1577797
Preston Hollow,US,42.4445237,-74.207917
Punxsutawney,US,40.9436303,-78.971078
Rapid River,US,45.9269087,-86.9670846
Rensselaerville,US,42.5161888,-74.1379131
Rimersburg,US,41.0416635,-79.5030243
Rochester Mills,US,40.8186752,-78.9855885
Round Top,US,30.0651011,-96.6955449
Rutherfordton,US,35.3692877,-81.9567716
Sayre,US,35.2979543,-99.6399648
Schuylkill Haven,US,40.6306464,-76.171054
Shickshinny,US,41.1531388,-76.1502078
Shingle Springs,US,38.6657375,-120.9260509
Smethport,US,41.8091097,-78.446264
Spotsylvania,US,38.2010057,-77.5891622
Stewartstown,US,44.9951037,-71.5327724
Stone Mountain,US,33.8080924,-84.1706273
Stony Creek,US,36.9479277,-77.4008113
The Plains,US,38.8624506,-77.774073
Towanda,US,40.5639242,-88.8989607
Trout Run,US,41.3861872,-77.0569132
Tunkhannock,US,41.5385159,-75.946844
Tyrone,US,40.6705508,-78.2383479
Wales,US,48.8958373,-98.6026208
Warren Center,US,41.9378526,-76.1807628
West Decatur,US,34.6042588,-86.9955646
West Torrington,US,41.8184296,-73.1437223
Westerlo,US,42.5150785,-74.0454099
York Springs,US,40.0089827,-77.1155359
Port Vila,VU,-17.7414972,168.3150163
Bandele,YT,-12.89804,45.23158
Longyearbyen,SJ,78.2232,15.6469
Réunion,RE,-20.8823,55.4504
Lima region,PE,-12.0931,-77.0465
Saipan,MP,15.185995,145.747915
Hagåtña,GU,13.4757,144.749
Hagatna,GU,13.4757,144.749
Palikir - National Government Center,FM,6.92414,158.15968
West Island,CC,-12.1883,96.830201
Utterson,CA,45.21071,-79.32735
São Gabriel da Cachoeira Municipality,BR,-0.1188,-67.0792
Marechal Thaumaturgo Municipality,BR,-8.9472,-72.7903
Jutaí Municipality,BR,-2.4449,-66.4601
Benjamin Constant Municipality,BR,-4.3759,-70.0301
Atalaia do Norte Municipality,BR,-4.371944,-70.191944
Mariehamn,AX,60.1123,19.927222
Sackville Reach,AU,-33.48629,150.89389
Peelhurst,AU,-37.87528,142.29071
Old Morago,AU,-35.377,144.679
McMurdo Station,AQ,-77.84632,166.66823
Tokyo,JP,35.687,139.7495
Jakarta,ID,-6.175,106.8275
Delhi,IN,28.61,77.23
Guangzhou,CN,23.13,113.26
Mumbai,IN,19.0761,72.8775
Manila,PH,14.5958,120.9772
Shanghai,CN,31.2286,121.4747
Sao Paulo,BR,-23.5504,-46.6339
Seoul,KR,37.5667,126.9833
Mexico City,MX,19.4333,-99.1333
Kolkata,IN,22.5675,88.37
Cairo,EG,30.0444,31.2358
Karachi,PK,24.86,67.01
Dhaka,BD,23.7289,90.3944
New York,US,40.6943,-73.9249
Beijing,CN,39.9067,116.3975
Bangkok,TH,13.7525,100.4942
Shenzhen,CN,22.5415,114.0596
Moscow,RU,55.7506,37.6175
Buenos Aires,AR,-34.6036,-58.3814
Lagos,NG,6.455,3.3841
Bangalore,IN,12.9789,77.5917
Ho Chi Minh City,VN,10.7756,106.7019
Osaka,JP,34.6939,135.5022
Chengdu,CN,30.66,104.0633
Istanbul,TR,41.0136,28.955
Tehran,IR,35.6889,51.3897
Kinshasa,CD,-4.3219,15.3119
Rio de Janeiro,BR,-22.9111,-43.2056
Chennai,IN,13.0825,80.275
Xi'an,CN,34.2611,108.9422
Lahore,PK,31.5497,74.3436
Chongqing,CN,29.5637,106.5504
Los Angeles,US,34.1141,-118.4068
London,GB,51.5072,-0.1275
Paris,FR,48.8567,2.3522
Linyi,CN,35.1038,118.3564
Dongguan,CN,23.021,113.752
Baoding,CN,38.874,115.464
Hyderabad,IN,17.3617,78.4747
Tianjin,CN,39.1336,117.2054
Lima,PE,-12.06,-77.0375
Wuhan,CN,30.5934,114.3046
Nanyang,CN,32.9902,112.5285
Hangzhou,CN,30.267,120.153
Nagoya,JP,35.1833,136.9
Luanda,AO,-8.8383,13.2344
Foshan,CN,23.0214,113.1216
Kuala Lumpur,MY,3.1686,101.698
Zhoukou,CN,33.6367,114.7014
Tongshan,CN,34.261,117.1859
Hanoi,VN,21.0,105.85
Chicago,US,41.8375,-87.6866
Nanjing,CN,32.0608,118.7789
Heze,CN,35.2343,115.4796
Pune,IN,18.5203,73.8567
Jining,CN,35.4151,116.5871
Bogota,CO,4.7111,-74.0722
Ahmedabad,IN,23.0225,72.5714
Shenyang,CN,41.8025,123.4281
Dar es Salaam,TZ,-6.8161,39.2803
