h3Index,lat,lon,parent_data_points,resolution
82002ffffffffff,79.649682,22.599927,0.0,2
820127fffffffff,70.683933,24.354967,0.0,2
820137fffffffff,70.309462,32.28929,0.0,2
820157fffffffff,77.272426,17.017122,0.0,2
82015ffffffffff,79.313332,7.432123,0.0,2
820207fffffffff,79.220986,-107.429202,0.0,2
82020ffffffffff,77.083685,-98.752497,0.0,2
82021ffffffffff,76.430322,-111.153562,0.0,2
82022ffffffffff,79.63126,-91.747247,0.0,2
820247fffffffff,74.396576,-81.177911,0.0,2
82024ffffffffff,71.558013,-78.060813,0.0,2
820257fffffffff,74.662902,-92.427968,0.0,2
82025ffffffffff,72.039305,-87.719205,0.0,2
820267fffffffff,76.464055,-72.69055,0.0,2
820277fffffffff,77.104476,-85.48851,0.0,2
82028ffffffffff,72.360893,-122.445505,0.0,2
82029ffffffffff,70.865562,-129.817452,0.0,2
8202affffffffff,75.262149,-121.800796,0.0,2
8202c7fffffffff,71.546615,-106.888579,0.0,2
8202cffffffffff,69.271608,-101.340143,0.0,2
8202d7fffffffff,70.656362,-115.427371,0.0,2
8202dffffffffff,68.666048,-109.411189,0.0,2
8202e7fffffffff,74.366715,-103.500736,0.0,2
8202effffffffff,72.028523,-97.511455,0.0,2
8202f7fffffffff,73.565391,-113.64716,0.0,2
820347fffffffff,80.918789,-62.402619,0.0,2
820357fffffffff,81.889789,-80.840578,0.0,2
82035ffffffffff,79.245445,-75.81536,0.0,2
820447fffffffff,75.427229,177.819029,0.0,2
82045ffffffffff,72.342479,177.537009,0.0,2
820467fffffffff,78.520454,178.250116,0.0,2
82054ffffffffff,81.603602,178.99078,0.0,2
820747fffffffff,64.50541,-18.18008,0.0,2
82075ffffffffff,64.68897,-24.147191,9.0,2
820777fffffffff,66.668909,-14.09033,0.0,2
820807fffffffff,64.7,10.536199,0.0,2
820817fffffffff,62.768891,11.927741,0.0,2
82081ffffffffff,64.635295,15.271851,0.0,2
82082ffffffffff,66.623403,12.088078,0.0,2
820837fffffffff,63.452797,6.880273,0.0,2
820887fffffffff,60.191218,18.25853,2714.0,2
82088ffffffffff,61.965452,21.820056,0.0,2
82089ffffffffff,59.456967,23.22313,500.0,2
8208a7fffffffff,60.722811,13.207957,0.0,2
8208affffffffff,62.31848,17.199441,0.0,2
8208b7fffffffff,58.560335,14.388555,0.0,2
8208c7fffffffff,66.469659,23.789852,0.0,2
8208cffffffffff,68.478878,28.104457,0.0,2
8208d7fffffffff,63.987887,25.269327,0.0,2
8208dffffffffff,65.961468,29.346889,0.0,2
8208e7fffffffff,66.763651,18.326764,0.0,2
8208effffffffff,68.702285,21.002563,0.0,2
8208f7fffffffff,64.404827,20.204288,0.0,2
82095ffffffffff,68.628976,14.004246,0.0,2
820987fffffffff,59.604145,4.836943,0.0,2
82098ffffffffff,61.052963,8.148478,0.0,2
82099ffffffffff,58.975663,9.519747,11883.0,2
