h3Index,lat,lon,parent_data_points
830880fffffffff,60.191218,18.25853,2714.0
830882fffffffff,59.466703,19.252329,2714.0
830884fffffffff,60.135496,16.257486,2714.0
830885fffffffff,60.895907,17.238069,2714.0
830886fffffffff,59.426573,17.274508,2714.0
830899fffffffff,60.388056,23.934828,500.0
83089afffffffff,58.683258,24.135914,500.0
83089bfffffffff,59.572644,24.934401,500.0
83089dfffffffff,60.252774,22.204965,500.0
83089efffffffff,58.717768,22.178097,500.0
830998fffffffff,58.975663,9.519747,11883.0
830999fffffffff,59.792076,10.356463,11883.0
83099bfffffffff,59.130681,11.42645,11883.0
83099cfffffffff,58.793841,7.640771,11883.0
83099dfffffffff,59.621248,8.437815,11883.0
83099efffffffff,58.143239,8.711607,11883.0
830c70fffffffff,62.401713,-149.484713,5264.0
830c71fffffffff,61.751908,-147.950396,5264.0
830c72fffffffff,62.042908,-151.637292,5264.0
830c73fffffffff,61.418447,-150.056399,5264.0
830c74fffffffff,63.393143,-148.86739,5264.0
830c75fffffffff,62.725141,-147.292532,5264.0
830c76fffffffff,63.043556,-151.111482,5264.0
830f08fffffffff,64.514373,-66.991131,170.0
830f09fffffffff,63.44865,-65.863986,170.0
830f0afffffffff,64.588118,-69.714699,170.0
830f0bfffffffff,63.542406,-68.48197,170.0
830f0cfffffffff,65.466195,-65.398166,170.0
830f0dfffffffff,64.391166,-64.296207,170.0
830f0efffffffff,65.569903,-68.208337,170.0
8312c8fffffffff,49.566135,-113.51282,127282.0
8312c9fffffffff,49.066718,-112.048207,127282.0
8312cafffffffff,49.003713,-114.769397,127282.0
8312cbfffffffff,48.522323,-113.322838,127282.0
8312ccfffffffff,50.619052,-113.712934,127282.0
8312cdfffffffff,50.122683,-112.207991,127282.0
8312cefffffffff,50.043988,-114.998462,127282.0
831828fffffffff,52.274404,-6.975835,125061.0
83182afffffffff,52.096175,-8.652428,125061.0
83182cfffffffff,53.24874,-6.480271,125061.0
83182efffffffff,53.084303,-8.182655,125061.0
831948fffffffff,51.007441,1.63377,611177.0
831949fffffffff,50.132601,2.579142,611177.0
83194afffffffff,50.943693,0.077249,611177.0
83194bfffffffff,50.075182,1.058382,611177.0
83194dfffffffff,51.049978,3.170931,611177.0
83194efffffffff,51.875848,0.650496,611177.0
831968fffffffff,52.83905,4.401874,10005.0
831969fffffffff,52.134769,5.387506,10005.0
83196bfffffffff,51.952254,3.778347,10005.0
83196dfffffffff,53.058823,6.057897,10005.0
831aa0fffffffff,47.883144,-52.807027,3777.0
831aa2fffffffff,47.099156,-53.985128,3777.0
831aa3fffffffff,46.84733,-52.452439,3777.0
831aa4fffffffff,48.92971,-53.180409,3777.0
831aa6fffffffff,48.136584,-54.383134,3777.0
831e00fffffffff,48.75835,18.303044,73442.0
831e01fffffffff,48.776278,19.975815,73442.0
831e02fffffffff,47.840352,17.481333,73442.0
831e03fffffffff,47.86929,19.13153,73442.0
831e04fffffffff,49.629904,17.45608,73442.0
