h3Index,lat,lon,parent_data_points,client_server_distance_km
8412c81ffffffff,49.566135,-113.51282,127282.0,169.62055483057745
8412c83ffffffff,49.275799,-113.066015,127282.0,209.75939125987367
8412c85ffffffff,49.474843,-114.086909,127282.0,175.15535603580938
8412c87ffffffff,49.187436,-113.638778,127282.0,209.34184968715695
8412c89ffffffff,49.94647,-113.384288,127282.0,131.8574081007817
8412c8bffffffff,49.655016,-112.933697,127282.0,174.7018668571752
8412c8dffffffff,49.854626,-113.96479,127282.0,133.11517314016118
8412c91ffffffff,49.066718,-112.048207,127282.0,263.41095959215164
8412c93ffffffff,48.770008,-111.61323,127282.0,308.4100794234963
8412c95ffffffff,48.983686,-112.624342,127282.0,251.80444417822827
8412c97ffffffff,48.689861,-112.187765,127282.0,294.9426736881364
8412c99ffffffff,49.445199,-111.905836,127282.0,235.45997930729717
8412c9bffffffff,49.147255,-111.467356,127282.0,281.28174840979995
8412c9dffffffff,49.361742,-112.488349,127282.0,218.75393641242624
8412ca1ffffffff,49.003713,-114.769397,127282.0,233.00488139574557
8412ca3ffffffff,48.720278,-114.323897,127282.0,259.7073416435968
8412ca5ffffffff,48.908486,-115.327165,127282.0,254.6017569000544
8412ca7ffffffff,48.62792,-114.880637,127282.0,275.5709094416758
8412ca9ffffffff,49.381209,-114.655916,127282.0,190.23654839690298
8412cabffffffff,49.096718,-114.206587,127282.0,217.424241605729
8412cadffffffff,49.285299,-115.219797,127282.0,212.71308771603836
8412cb1ffffffff,48.522323,-113.322838,127282.0,286.08906747098507
8412cb3ffffffff,48.232547,-112.888357,127282.0,324.5613373724258
8412cb5ffffffff,48.435058,-113.883272,127282.0,291.0665992943536
8412cb7ffffffff,48.148117,-113.447493,127282.0,325.7425199938443
8412cb9ffffffff,48.898226,-113.195704,127282.0,247.23613546805805
8412cbbffffffff,48.607278,-112.757652,127282.0,287.37770617174164
8412cbdffffffff,48.810402,-113.762238,127282.0,249.98303615757956
8412cc1ffffffff,50.619052,-113.712934,127282.0,53.97636091412205
8412cc3ffffffff,50.328413,-113.253103,127282.0,98.60297662496217
8412cc5ffffffff,50.523654,-114.301343,127282.0,60.806943634170416
8412cc7ffffffff,50.236038,-113.840158,127282.0,91.9072243233463
8412cc9ffffffff,51.003635,-113.583038,127282.0,34.216334042734914
8412ccbffffffff,50.711933,-113.119185,127282.0,76.36640892025717
8412ccdffffffff,50.907694,-114.178198,127282.0,17.644296473246083
8412cd1ffffffff,50.122683,-112.207991,127282.0,166.88004934768315
8412cd3ffffffff,49.825275,-111.760568,127282.0,212.63413443595363
8412cd5ffffffff,50.035845,-112.798669,127282.0,144.0294307700157
8412cd7ffffffff,49.741418,-112.349594,127282.0,189.69261988660642
8412cd9ffffffff,50.505507,-112.063456,127282.0,153.30656612379903
8412cdbffffffff,50.206915,-111.612315,127282.0,196.86106075272838
8412cddffffffff,50.418259,-112.660849,127282.0,121.33790798203562
8412ce1ffffffff,50.043988,-114.998462,127282.0,129.7969021782156
8412ce3ffffffff,49.760382,-114.540127,127282.0,147.2709960693617
8412ce5ffffffff,49.944454,-115.56962,127282.0,162.5136630753865
8412ce7ffffffff,49.663809,-115.110251,127282.0,170.99007406954956
8412ce9ffffffff,50.425811,-114.88436,127282.0,90.15511459151897
8412cebffffffff,50.141207,-114.42196,127282.0,104.11764856832315
8412cedffffffff,50.325596,-115.461942,127282.0,127.07628475802882
8418281ffffffff,52.274404,-6.975835,125061.0,128.87463755292768
8418285ffffffff,52.342141,-7.625309,125061.0,144.7542763791209
8418287ffffffff,51.968828,-7.352693,125061.0,170.30259373011597
8418289ffffffff,52.577112,-6.595848,125061.0,88.79848110976188
841828bffffffff,52.203354,-6.330507,125061.0,127.55529027997937
841828dffffffff,52.647232,-7.246822,125061.0,102.27136057069615
84182a1ffffffff,52.096175,-8.652428,125061.0,213.0116280559142
84182a3ffffffff,51.723401,-8.372744,125061.0,230.44553612199962
84182a5ffffffff,52.15473,-9.308002,125061.0,244.36230802337616
84182a7ffffffff,51.78302,-9.022832,125061.0,255.3303707829387
84182a9ffffffff,52.406504,-8.2788,125061.0,171.3015602610219
84182abffffffff,52.034189,-8.000614,125061.0,187.48225285343239
84182adffffffff,52.467437,-8.936175,125061.0,204.49237960915227
84182c1ffffffff,53.24874,-6.480271,125061.0,18.431307959771292
84182c3ffffffff,52.876929,-6.212727,125061.0,52.66553452805778
84182c5ffffffff,53.320287,-7.138473,125061.0,58.4005816564058
84182c7ffffffff,52.94944,-6.865144,125061.0,60.06436940992025
84182c9ffffffff,53.545111,-6.092196,125061.0,24.414472043359407
84182cdffffffff,53.619068,-6.751855,125061.0,44.21470943500071
84182d3ffffffff,52.05156,-5.052773,125061.0,165.69358707149564
84182e1ffffffff,53.084303,-8.182655,125061.0,131.34771373047812
84182e3ffffffff,52.713982,-7.901938,125061.0,130.56113014433282
84182e5ffffffff,53.146534,-8.847478,125061.0,173.60045902516632
84182e7ffffffff,52.777303,-8.561063,125061.0,166.38219680861508
84182e9ffffffff,53.388412,-7.800941,125061.0,102.30302395789971
84182ebffffffff,53.018585,-7.521831,125061.0,91.76764535204866
84182edffffffff,53.453052,-8.467539,125061.0,146.77363775328905
8419481ffffffff,51.007441,1.63377,611177.0,134.56886541826844
8419483ffffffff,50.625819,1.824472,611177.0,167.94698873465174
8419485ffffffff,51.115641,1.051348,611177.0,92.78554260429944
841948bffffffff,50.896863,2.210863,611177.0,150.37780558040234
841948dffffffff,51.388224,1.440175,611177.0,109.44002904704209
8419491ffffffff,50.132601,2.579142,611177.0,142.81716583427578
8419493ffffffff,49.749375,2.759205,611177.0,103.55427999155538
8419495ffffffff,50.2434,2.01234,611177.0,156.13062306346967
8419497ffffffff,49.86023,2.197434,611177.0,112.14890989641219
8419499ffffffff,50.402143,2.962967,611177.0,109.77741964472857
841949bffffffff,50.01959,3.140673,611177.0,125.79694158325924
841949dffffffff,50.515111,2.39638,611177.0,142.66498778438205
84194a1ffffffff,50.943693,0.077249,611177.0,64.260777610571
84194a5ffffffff,51.044672,-0.515489,611177.0,58.08170890855642
84194a9ffffffff,51.221391,0.463644,611177.0,51.906982547493804
84194abffffffff,50.840179,0.664859,611177.0,92.4783537190977
84194adffffffff,51.324624,-0.129289,611177.0,20.301904002037933
84194b1ffffffff,50.075182,1.058382,611177.0,164.61272174572917
84194b3ffffffff,49.691489,1.250812,611177.0,122.47555576886876
84194b7ffffffff,49.795618,0.678713,611177.0,160.02056992636716
84194b9ffffffff,50.351921,1.440307,611177.0,169.03420196485393
84194bbffffffff,49.968855,1.630479,611177.0,134.23461174409582
84194c5ffffffff,52.037127,1.637182,611177.0,134.95915255244324
84194d1ffffffff,51.049978,3.170931,611177.0,85.80457558583097
84194d3ffffffff,50.668846,3.348893,611177.0,73.3127392700185
84194d5ffffffff,51.16504,2.599463,611177.0,127.659147970576
84194d7ffffffff,50.783974,2.782583,611177.0,110.51333716302946
84194d9ffffffff,51.313111,3.561408,611177.0,75.78655750520895
84194dbffffffff,50.932697,3.736901,611177.0,44.2262478598602
84194ddffffffff,51.430338,2.990256,611177.0,115.0818316731346
84194e1ffffffff,51.875848,0.650496,611177.0,67.49857699129558
84194e3ffffffff,51.496206,0.85244,611177.0,67.83988050400168
84194e5ffffffff,51.981021,0.051993,611177.0,54.11635255296145
84194e7ffffffff,51.601687,0.259377,611177.0,28.73723137420167
84194e9ffffffff,52.147092,1.044055,611177.0,107.44480120918956
84194ebffffffff,51.768122,1.243625,611177.0,98.96928313503763
84194edffffffff,52.254523,0.445451,611177.0,91.93416707704097
841e001ffffffff,48.75835,18.303044,73442.0,154.8718451069891
841e003ffffffff,48.639458,18.899239,73442.0,192.50445327978736
841e005ffffffff,48.492637,17.828529,73442.0,112.14332332150109
841e007ffffffff,48.375703,18.42287,73442.0,152.82323621777698
841e009ffffffff,49.138888,18.182015,73442.0,168.40001537135262
841e00bffffffff,49.021412,18.781337,73442.0,198.8141123450193
841e00dffffffff,48.873855,17.705616,73442.0,122.91656876262255
841e011ffffffff,48.776278,19.975815,73442.0,272.91106157661585
841e013ffffffff,48.648654,20.570722,73442.0,313.5653829451445
841e015ffffffff,48.517195,19.494075,73442.0,233.1463744989284
841e017ffffffff,48.391578,20.087429,73442.0,275.52186678320606
841e019ffffffff,49.158891,19.863065,73442.0,277.1623092336981
841e01bffffffff,49.032611,20.461158,73442.0,314.1559863433636
841e01dffffffff,48.900536,19.379312,73442.0,234.28848353242847
841e021ffffffff,47.840352,17.481333,73442.0,92.05328945412224
