client_city,client_country_code,server_city,server_country_code,distance
Dallas,US,Dallas-Fort Worth,US,28.2
Atlanta,US,Miami,US,973.45
Sao Gabriel da Cachoeira,BR,Bogota,CO,943.16
San Juan,PR,Omaha,US,3815.02
Manila,PH,Madrid,ES,11671.98
Smethport,US,Reisterstown,US,295.63
Milan,US,Chicago,US,244.14
Boyland,AU,Sydney (Mascot),AU,682.86
Auckland,NZ,Frankfurt,DE,18162.31
Dallas,US,Washington,US,1903.77
Kyneton,AU,Melbourne,AU,77.27
Manila,PH,Stavanger,NO,9998.93
Lakehurst,CA,Montreal,CA,398.73
Oslo,NO,London,GB,1155.53
Castries,LC,Bogota,CO,1765.83
Adelaide Hills,AU,Sydney,AU,1142.73
Chicago,US,Denver,US,1466.22
McMurdo Station,AQ,Sydney (Mascot),AU,4953.61
Gold Coast,AU,Melbourne,AU,1341.54
Salt Lake City,US,Monterrey,MX,1989.26
Bogotá,CO,Amsterdam,NL,8851.61
Sydney,AU,Marseille,FR,16891.22
Majuro,MH,Auckland,NZ,4875.83
Los Angeles,US,Dublin,IE,8327.74
Dallas,US,Prague,CZ,8611.14
Berlin,DE,Nairobi,KE,6353.01
Ashburn,US,Stockholm,SE,6663.98
Lula,US,Charleston,US,384.84
Paris,FR,Lisbon,PT,1454.48
Manila,PH,Los Angeles,US,11743.84
Port Perry,CA,Toronto,CA,53.23
Winnipeg,CA,Montreal,CA,1827.38
Atlanta,US,Lorain,US,874.71
Funafuti,TV,Wellington,NZ,3657.01
Don Torcuato,AR,Buenos Aires (Ezeiza),AR,20.92
Rutherglen,AU,Sydney,AU,496.17
Manila,PH,Hamburg,DE,10039.81
Toronto,CA,Stavanger,NO,5728.99
Abakaliki,NG,Columbus,US,9657.24
Milanville,US,New York,US,144.67
Maysville,US,Jacksonville,US,942.39
Bratislava,SK,Prague,CZ,292.0
Suva,FJ,Auckland,NZ,2104.97
Winnipeg,CA,Milan,IT,7280.91
Asuncion,PY,Buenos Aires,AR,1034.38
São Gabriel da Cachoeira Municipality,BR,Sao Paulo,BR,3406.34
Majuro,MH,Tokyo,JP,4519.57
Madrid,ES,Warsaw,PL,2293.9
Calgary,CA,Madrid,ES,7834.32
Salt Lake City,US,Stavanger,NO,7556.07
Grass Valley,US,Los Angeles,US,614.29
Atlanta,US,Paris,FR,7055.19
Toronto,CA,Tel Aviv,IL,9282.43
Asunción,PY,Lima,PE,2510.46
Antananarivo,MG,Montreal,CA,13897.98
Halifax,CA,Montreal,CA,790.41
Lisbon,PT,Paris,FR,1454.48
Doha,QA,Dublin,IE,5669.35
Toronto,CA,Warsaw,PL,6933.43
Miami,US,Stavanger,NO,7358.98
Seattle,US,Dublin,IE,7297.24
Sydney,AU,Madrid,ES,17686.98
Sofia,BG,Paris,FR,1761.34
Sydney,AU,Mumbai,IN,10149.05
Maputo,MZ,Nairobi,KE,2762.89
Buenos Aires,AR,Buenos Aires (Ezeiza),AR,5.44
Abakaliki,NG,Nairobi,KE,3298.94
Fort-de-France,MQ,Paris,FR,6860.04
Lula,US,Atlanta,US,98.33
Miami,US,Paris,FR,7369.38
Reykjavik,IS,London,GB,1894.34
Milanville,US,Washington,US,349.13
Cameron Park,AU,Sydney (Mascot),AU,113.3
Adare,AU,Sydney,AU,712.53
Ontario,CA,Vancouver,CA,3360.93
Kununurra,AU,Melbourne,AU,2916.64
Vilnius,LT,Warsaw,PL,393.81
St. John's,CA,Moncton,CA,925.24
Godfrey,CA,Toronto,CA,233.22
Gustavia,BL,Miami,US,1993.0
Glen Iris,AU,Sydney,AU,708.93
Haliburton,CA,Calgary,CA,3608.02
Paris Creek,AU,Sydney,AU,1146.88
Dublin,IE,London,GB,464.61
Tallinn,EE,Stockholm,SE,380.31
Basse-Terre,GP,Zurich,CH,7232.05
Phoenix,US,Charleston,US,2984.28
Stone Mountain,US,St. Charles,US,793.98
Shingle Springs,US,San Jose,US,171.75
Riga,LV,Warsaw,PL,561.83
