client_city,client_country_code,server_city,server_country_code
Kumasi,GH,Lagos,NG
Mexico City,MX,Monterrey,MX
Dubai,AE,Doha,QA
Bratislava,SK,Prague,CZ
Central Coast,AU,Sydney,AU
Maseru,LS,Johannesburg,ZA
Valletta,MT,Marseille,FR
Vancouver,CA,Calgary,CA
Stockholm,SE,Hamburg,DE
Damascus,SY,Frankfurt,DE
Kurrajong Heights,AU,Sydney,AU
Apen,DE,Berlin,DE
Reykjavik,IS,Dublin,IE
Marigot,MF,Bogota,CO
Ottawa,CA,Toronto,CA
Brussels,BE,Brussels,BE
Palikir,FM,Tokyo,JP
Winnipeg,CA,Winnipeg,CA
Lomé,TG,Lagos,NG
Port Vila,VU,Sydney,AU
Lilongwe,MW,Maputo,MZ
Wichita,US,Dallas,US
Libreville,GA,Lagos,NG
Athens,GR,Sofia,BG
Baghdad,IQ,Tel Aviv,IL
Dublin,IE,London,GB
Halton,AU,Sydney,AU
Kansas City,US,Chicago,US
Paris,FR,Madrid,ES
Ouagadougou,BF,Lagos,NG
Warsaw,PL,Warsaw,PL
Kingston,JM,Miami,US
Kukës,AL,Sofia,BG
Jackson,US,Dallas,US
Paris,FR,Frankfurt,DE
Canberra,AU,Sydney,AU
N'Djamena,TD,Lagos,NG
Pine Mountain Club,US,Los Angeles,US
Iqaluit,CA,Moncton,CA
Perth,AU,Perth,AU
Gustavia,BL,Bogota,CO
Crawford County,US,Washington,US
Beaver County,US,Washington,US
Dhaka,BD,New Delhi,IN
Prague,CZ,Prague,CZ
Atafu Village,TK,Auckland,NZ
Muscat,OM,Doha,QA
Chicago,US,Chicago,US
Mercer County,US,Washington,US
Thimphu,BT,Chennai,IN
Addis Ababa,ET,Nairobi,KE
Berlin,DE,Amsterdam,NL
Chisinau,MD,Sofia,BG
Wauchope,AU,Sydney,AU
Yerevan,AM,Tel Aviv,IL
Los Angeles,US,Los Angeles,US
Kuala Lumpur,MY,Singapore,SG
Marienville,US,New York,US
Praia,CV,Lisbon,PT
Saint George's,GD,Bogota,CO
Colombo,LK,Chennai,IN
San Salvador,SV,Miami,US
Blairsville,US,New York,US
Tokyo,JP,Tokyo,JP
Nuku'alofa,TO,Auckland,NZ
Philadelphia,US,Washington,US
Funafuti,TV,Auckland,NZ
St. John's,CA,Montreal,CA
Gladstone,AU,Sydney,AU
Damascus,SY,London,GB
Townville,US,New York,US
Scenery Hill,US,Washington,US
Louisville,US,Washington,US
Manchester,US,New York,US
Oslo,NO,Frankfurt,DE
Saint-Pierre,PM,Moncton,CA
Asunción,PY,Buenos Aires,AR
Paris,FR,Turin,IT
Iqaluit,CA,Montreal,CA
Khartoum,SD,Madrid,ES
Basseterre,KN,Bogota,CO
Caledonia,US,Chicago,US
Rome,IT,Milan,IT
Mexico City,MX,Miami,US
Mogadishu,SO,Nairobi,KE
Cambridge Springs,US,Washington,US
Portland,US,San Francisco Bay Area,US
San Salvador,SV,Mexico City,MX
Port Lincoln,AU,Sydney,AU
Tbilisi,GE,Sofia,BG
Salt Lake City,US,Salt Lake City,US
Gold Coast,AU,Sydney,AU
Montreal,CA,Montreal,CA
Zurich,CH,Zurich,CH
Oslo,NO,Stavanger,NO
Baghdad,IQ,Paris,FR
Vienna,AT,Frankfurt,DE
Fortaleza,BR,Sao Paulo,BR
Kathmandu,NP,New Delhi,IN
Kalgoorlie,AU,Sydney,AU
Buenos Aires,AR,Santiago,CL
Morann,US,New York,US
Stockholm,SE,Frankfurt,DE
Montevideo,UY,Buenos Aires,AR
Corwen,GB,London,GB
La Paz,MX,Monterrey,MX
Honiara,SB,Sydney,AU
Cowansville,US,Washington,US
Cheshunt,AU,Sydney,AU
Wandiligong,AU,Sydney,AU
Reynoldsville,US,New York,US
Tarawa,KI,Sydney,AU
Hobart,AU,Melbourne,AU
Evansville,US,Chicago,US
Valley Center,US,Los Angeles,US
Almaty,KZ,New Delhi,IN
Goulburn,AU,Sydney,AU
Tegucigalpa,HN,Mexico City,MX
Damascus,SY,Warsaw,PL
Caracas,VE,Bogota,CO
Oslo,NO,Hamburg,DE
Banjul,GM,Lisbon,PT
Dakar,SN,Lisbon,PT
Gaborone,BW,Johannesburg,ZA
Oslo,NO,Stockholm,SE
Quito,EC,Bogota,CO
Denver,US,Denver,US
Springdale,US,Salt Lake City,US
Glenwilliam,CA,Montreal,CA
New York,US,New York,US
Nicosia,CY,Belgrade,RS
Damascus,SY,Milan,IT
Coari,BR,Sao Paulo,BR
Auckland,NZ,Auckland,NZ
Philipsburg,SX,Miami,US
Damascus,SY,Berlin,DE
Lusaka,ZM,Johannesburg,ZA
Berlin,DE,Zurich,CH
Mingo Junction,US,Columbus,US
Ramallah,PS,Athens,GR
Noumea,NC,Sydney,AU
Elkins,US,Washington,US
Maputo,MZ,Maputo,MZ
Lisbon,PT,Lisbon,PT
Burlington,US,Montreal,CA
Robe,AU,Melbourne,AU
Castries,LC,Bogota,CO
Valletta,MT,Podgorica,ME
Bangui,CF,Lagos,NG
Kingstown,VC,Bogota,CO
Dallas,US,Dallas,US
Santa Cruz de la Sierra,BO,Lima,PE
Toamasina,MG,Antananarivo,MG
Smethport,US,Washington,US
Childers,AU,Melbourne,AU
St. John's,CA,Moncton,CA
Guatemala City,GT,Miami,US
Boise,US,Calgary,CA
Roseau,DM,Bogota,CO
Wingham,AU,Sydney,AU
Damascus,SY,Paris,FR
Guatemala City,GT,Mexico City,MX
